startThreads creating 1 threads.
starting thread 0
started thread 0
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA GeForce RTX 4060/PCIe/SSE2
GL_VERSION=3.3.0 NVIDIA 535.183.01
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 535.183.01
Vendor = NVIDIA Corporation
Renderer = NVIDIA GeForce RTX 4060/PCIe/SSE2
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0
MotionThreadFunc thread started
ven = NVIDIA Corporation
ven = NVIDIA Corporation
/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5673197223898379, terminated: False, truncated: False
distance_to_goal: 1.5674336407760727, terminated: False, truncated: False
distance_to_goal: 1.5676829601256417, terminated: False, truncated: False
distance_to_goal: 1.567951133450503, terminated: False, truncated: False
distance_to_goal: 1.5674698590845864, terminated: False, truncated: False
distance_to_goal: 1.566492291304078, terminated: False, truncated: False
distance_to_goal: 1.5657464663435805, terminated: False, truncated: False
distance_to_goal: 1.5644527040398422, terminated: False, truncated: False
distance_to_goal: 1.563290338454058, terminated: False, truncated: False
distance_to_goal: 1.5631212250094735, terminated: False, truncated: False
distance_to_goal: 1.5627890746388506, terminated: False, truncated: False
distance_to_goal: 1.5618745370945666, terminated: False, truncated: False
distance_to_goal: 1.5610838330210477, terminated: False, truncated: False
distance_to_goal: 1.5603782336839416, terminated: False, truncated: False
distance_to_goal: 1.5599524588717824, terminated: False, truncated: False
distance_to_goal: 1.5590763238543737, terminated: False, truncated: False
distance_to_goal: 1.557067562706323, terminated: False, truncated: False
distance_to_goal: 1.5558908083740546, terminated: False, truncated: False
distance_to_goal: 1.55593396047386, terminated: False, truncated: False
distance_to_goal: 1.556116598304423, terminated: False, truncated: False
distance_to_goal: 1.5551794135705488, terminated: False, truncated: False
distance_to_goal: 1.554307035354191, terminated: False, truncated: False
distance_to_goal: 1.5540343754558341, terminated: False, truncated: False
distance_to_goal: 1.5533684226421354, terminated: False, truncated: False
distance_to_goal: 1.5524252323908312, terminated: False, truncated: False
distance_to_goal: 1.5515445140420832, terminated: False, truncated: False
distance_to_goal: 1.5506942956836924, terminated: False, truncated: False
distance_to_goal: 1.5507404605085597, terminated: False, truncated: False
distance_to_goal: 1.551328035591868, terminated: False, truncated: False
distance_to_goal: 1.5517105500376853, terminated: False, truncated: False
distance_to_goal: 1.551630073454255, terminated: False, truncated: False
distance_to_goal: 1.5513850369737494, terminated: False, truncated: False
distance_to_goal: 1.5518073042441585, terminated: False, truncated: False
distance_to_goal: 1.552667295651771, terminated: False, truncated: False
distance_to_goal: 1.5530182043558927, terminated: False, truncated: False
distance_to_goal: 1.552908940528168, terminated: False, truncated: False
distance_to_goal: 1.5529909903420138, terminated: False, truncated: False
distance_to_goal: 1.5530380255443796, terminated: False, truncated: False
distance_to_goal: 1.5539991731984177, terminated: False, truncated: False
distance_to_goal: 1.5542101107075277, terminated: False, truncated: False
distance_to_goal: 1.5555122845530067, terminated: False, truncated: False
distance_to_goal: 1.5563755344427854, terminated: False, truncated: False
distance_to_goal: 1.5560471302489756, terminated: False, truncated: False
distance_to_goal: 1.5553753591015655, terminated: False, truncated: False
distance_to_goal: 1.555033548334882, terminated: False, truncated: False
distance_to_goal: 1.5537338923205832, terminated: False, truncated: False
distance_to_goal: 1.552776958069787, terminated: False, truncated: False
distance_to_goal: 1.5518498504172145, terminated: False, truncated: False
distance_to_goal: 1.5503908445590266, terminated: False, truncated: False
distance_to_goal: 1.5489997524306065, terminated: False, truncated: False
distance_to_goal: 1.5480072212270262, terminated: False, truncated: False
distance_to_goal: 1.5476845846219593, terminated: False, truncated: False
distance_to_goal: 1.5473749453700376, terminated: False, truncated: False
distance_to_goal: 1.5459907035023597, terminated: False, truncated: False
distance_to_goal: 1.5453063278161494, terminated: False, truncated: False
distance_to_goal: 1.5459620983052746, terminated: False, truncated: False
distance_to_goal: 1.5467539726945347, terminated: False, truncated: False
distance_to_goal: 1.5479868683660216, terminated: False, truncated: False
distance_to_goal: 1.5482059503727137, terminated: False, truncated: False
distance_to_goal: 1.5496584210132323, terminated: False, truncated: False
distance_to_goal: 1.550217075032718, terminated: False, truncated: False
distance_to_goal: 1.5507480806035694, terminated: False, truncated: False
distance_to_goal: 1.550822965141722, terminated: False, truncated: False
distance_to_goal: 1.550542310968724, terminated: False, truncated: False
distance_to_goal: 1.5503499597907688, terminated: False, truncated: False
distance_to_goal: 1.5496904123115076, terminated: False, truncated: False
distance_to_goal: 1.5478939723775427, terminated: False, truncated: False
distance_to_goal: 1.545911746537328, terminated: False, truncated: False
distance_to_goal: 1.5453396382569655, terminated: False, truncated: False
distance_to_goal: 1.5453791559686043, terminated: False, truncated: False
distance_to_goal: 1.5452936170211198, terminated: False, truncated: False
distance_to_goal: 1.544140503915716, terminated: False, truncated: False
distance_to_goal: 1.5435962092218471, terminated: False, truncated: False
distance_to_goal: 1.5428246030537849, terminated: False, truncated: False
distance_to_goal: 1.5424495402874439, terminated: False, truncated: False
distance_to_goal: 1.543321705071882, terminated: False, truncated: False
distance_to_goal: 1.544264036180096, terminated: False, truncated: False
distance_to_goal: 1.5458254748791787, terminated: False, truncated: False
distance_to_goal: 1.5458049850122981, terminated: False, truncated: False
distance_to_goal: 1.5458573238341697, terminated: False, truncated: False
distance_to_goal: 1.5452536887721244, terminated: False, truncated: False
distance_to_goal: 1.544147149998894, terminated: False, truncated: False
distance_to_goal: 1.5433400510439315, terminated: False, truncated: False
distance_to_goal: 1.5430937822768178, terminated: False, truncated: False
distance_to_goal: 1.541818437346599, terminated: False, truncated: False
distance_to_goal: 1.5404104608219233, terminated: False, truncated: False
distance_to_goal: 1.5391986704503429, terminated: False, truncated: False
distance_to_goal: 1.5380052166806506, terminated: False, truncated: False
distance_to_goal: 1.5374068718667986, terminated: False, truncated: False
distance_to_goal: 1.536560286445561, terminated: False, truncated: False
distance_to_goal: 1.5362545819377917, terminated: False, truncated: False
distance_to_goal: 1.535466364901741, terminated: False, truncated: False
distance_to_goal: 1.5340563890877066, terminated: False, truncated: False
distance_to_goal: 1.53389427940435, terminated: False, truncated: False
distance_to_goal: 1.5339553554784866, terminated: False, truncated: False
distance_to_goal: 1.5330679816247774, terminated: False, truncated: False
distance_to_goal: 1.5310884972748466, terminated: False, truncated: False
distance_to_goal: 1.5304727969934901, terminated: False, truncated: False
