/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5630404049008313, terminated: False, truncated: False
distance_to_goal: 1.5634541668973045, terminated: False, truncated: False
distance_to_goal: 1.563941125105355, terminated: False, truncated: False
distance_to_goal: 1.5639098724156264, terminated: False, truncated: False
distance_to_goal: 1.5636466348566471, terminated: False, truncated: False
distance_to_goal: 1.562753545336519, terminated: False, truncated: False
distance_to_goal: 1.5628411107550741, terminated: False, truncated: False
distance_to_goal: 1.5634311669826977, terminated: False, truncated: False
distance_to_goal: 1.5648779953060814, terminated: False, truncated: False
distance_to_goal: 1.5667767729097435, terminated: False, truncated: False
distance_to_goal: 1.5688147922620548, terminated: False, truncated: False
distance_to_goal: 1.5702428785045535, terminated: False, truncated: False
distance_to_goal: 1.571153039939172, terminated: False, truncated: False
distance_to_goal: 1.572796597808019, terminated: False, truncated: False
distance_to_goal: 1.5740430508416434, terminated: False, truncated: False
distance_to_goal: 1.5754228675991504, terminated: False, truncated: False
distance_to_goal: 1.5763925250981916, terminated: False, truncated: False
distance_to_goal: 1.5761290647199606, terminated: False, truncated: False
distance_to_goal: 1.5764908161069435, terminated: False, truncated: False
distance_to_goal: 1.5757304118636672, terminated: False, truncated: False
distance_to_goal: 1.5759403788200195, terminated: False, truncated: False
distance_to_goal: 1.577428657578325, terminated: False, truncated: False
distance_to_goal: 1.5784434575494872, terminated: False, truncated: False
distance_to_goal: 1.57839515213069, terminated: False, truncated: False
distance_to_goal: 1.5777167281265447, terminated: False, truncated: False
distance_to_goal: 1.5772199095111779, terminated: False, truncated: False
distance_to_goal: 1.5773977946250028, terminated: False, truncated: False
distance_to_goal: 1.5773079244468031, terminated: False, truncated: False
distance_to_goal: 1.5760968014268524, terminated: False, truncated: False
distance_to_goal: 1.5751459678038016, terminated: False, truncated: False
distance_to_goal: 1.573727288516271, terminated: False, truncated: False
distance_to_goal: 1.5716083001162575, terminated: False, truncated: False
distance_to_goal: 1.5707631329824603, terminated: False, truncated: False
distance_to_goal: 1.5700576329002354, terminated: False, truncated: False
distance_to_goal: 1.569090915882542, terminated: False, truncated: False
distance_to_goal: 1.5685515502885896, terminated: False, truncated: False
distance_to_goal: 1.569183575971501, terminated: False, truncated: False
distance_to_goal: 1.5688044948768465, terminated: False, truncated: False
distance_to_goal: 1.5677782650715197, terminated: False, truncated: False
distance_to_goal: 1.566881720808105, terminated: False, truncated: False
distance_to_goal: 1.565163523354216, terminated: False, truncated: False
distance_to_goal: 1.5622610658566374, terminated: False, truncated: False
distance_to_goal: 1.5598668866282464, terminated: False, truncated: False
distance_to_goal: 1.558038587801157, terminated: False, truncated: False
distance_to_goal: 1.5556608245591914, terminated: False, truncated: False
distance_to_goal: 1.5545631175068981, terminated: False, truncated: False
distance_to_goal: 1.5536082554309019, terminated: False, truncated: False
distance_to_goal: 1.5521464687966522, terminated: False, truncated: False
distance_to_goal: 1.549913829313265, terminated: False, truncated: False
distance_to_goal: 1.5486004966762397, terminated: False, truncated: False
distance_to_goal: 1.5478985614377465, terminated: False, truncated: False
distance_to_goal: 1.5478186831744356, terminated: False, truncated: False
distance_to_goal: 1.5464959197907793, terminated: False, truncated: False
distance_to_goal: 1.5454284864329497, terminated: False, truncated: False
distance_to_goal: 1.5438332280516358, terminated: False, truncated: False
distance_to_goal: 1.5430336179725537, terminated: False, truncated: False
distance_to_goal: 1.5418651728963761, terminated: False, truncated: False
distance_to_goal: 1.540533118035627, terminated: False, truncated: False
distance_to_goal: 1.539277503192488, terminated: False, truncated: False
distance_to_goal: 1.538121570926257, terminated: False, truncated: False
distance_to_goal: 1.5370989120268228, terminated: False, truncated: False
distance_to_goal: 1.5368152148274803, terminated: False, truncated: False
distance_to_goal: 1.5354077570390405, terminated: False, truncated: False
distance_to_goal: 1.5352842497630281, terminated: False, truncated: False
distance_to_goal: 1.5349364940558257, terminated: False, truncated: False
distance_to_goal: 1.5345696951116932, terminated: False, truncated: False
distance_to_goal: 1.5350159871030418, terminated: False, truncated: False
distance_to_goal: 1.536208976823225, terminated: False, truncated: False
distance_to_goal: 1.5364964186657577, terminated: False, truncated: False
distance_to_goal: 1.5360240514672399, terminated: False, truncated: False
distance_to_goal: 1.5362256018065437, terminated: False, truncated: False
distance_to_goal: 1.5359779858701637, terminated: False, truncated: False
distance_to_goal: 1.536404139298562, terminated: False, truncated: False
distance_to_goal: 1.5369074925745134, terminated: False, truncated: False
distance_to_goal: 1.5370269013418811, terminated: False, truncated: False
distance_to_goal: 1.5383827351943196, terminated: False, truncated: False
distance_to_goal: 1.5385505472565215, terminated: False, truncated: False
distance_to_goal: 1.5376438466723052, terminated: False, truncated: False
distance_to_goal: 1.5358438118310247, terminated: False, truncated: False
distance_to_goal: 1.5343814224029226, terminated: False, truncated: False
distance_to_goal: 1.5328938133274432, terminated: False, truncated: False
distance_to_goal: 1.5328097132049534, terminated: False, truncated: False
distance_to_goal: 1.5315902945598634, terminated: False, truncated: False
distance_to_goal: 1.5297743387250144, terminated: False, truncated: False
distance_to_goal: 1.52862582273213, terminated: False, truncated: False
distance_to_goal: 1.5277105147961079, terminated: False, truncated: False
distance_to_goal: 1.5262506099745619, terminated: False, truncated: False
distance_to_goal: 1.5260851344289421, terminated: False, truncated: False
distance_to_goal: 1.5260411175112425, terminated: False, truncated: False
distance_to_goal: 1.5259663798372995, terminated: False, truncated: False
distance_to_goal: 1.5248142460368916, terminated: False, truncated: False
distance_to_goal: 1.522651434152654, terminated: False, truncated: False
distance_to_goal: 1.5216565514389149, terminated: False, truncated: False
distance_to_goal: 1.5220078706704618, terminated: False, truncated: False
distance_to_goal: 1.5224875268883438, terminated: False, truncated: False
distance_to_goal: 1.5225060581803527, terminated: False, truncated: False
distance_to_goal: 1.5232578371645347, terminated: False, truncated: False
distance_to_goal: 1.5234361044598546, terminated: False, truncated: False
distance_to_goal: 1.5242877157631511, terminated: False, truncated: False
distance_to_goal: 1.5247257229539766, terminated: False, truncated: False
distance_to_goal: 1.5258747580291958, terminated: False, truncated: False
distance_to_goal: 1.5258852678361803, terminated: False, truncated: False
distance_to_goal: 1.5249396980744345, terminated: False, truncated: False
distance_to_goal: 1.5241520000159028, terminated: False, truncated: False
distance_to_goal: 1.5228114454841322, terminated: False, truncated: False
distance_to_goal: 1.522181669572746, terminated: False, truncated: False
distance_to_goal: 1.522375453081264, terminated: False, truncated: False
distance_to_goal: 1.5227440989452459, terminated: False, truncated: False
distance_to_goal: 1.5226966727302578, terminated: False, truncated: False
distance_to_goal: 1.5213994866400862, terminated: False, truncated: False
distance_to_goal: 1.5198633665917474, terminated: False, truncated: False
distance_to_goal: 1.519040421979496, terminated: False, truncated: False
distance_to_goal: 1.517970652774645, terminated: False, truncated: False
distance_to_goal: 1.5170740526817168, terminated: False, truncated: False
distance_to_goal: 1.5161729453662185, terminated: False, truncated: False
distance_to_goal: 1.5145173361244277, terminated: False, truncated: False
distance_to_goal: 1.5135507370098895, terminated: False, truncated: False
distance_to_goal: 1.5137139142996208, terminated: False, truncated: False
distance_to_goal: 1.514507665458939, terminated: False, truncated: False
distance_to_goal: 1.5154737535599383, terminated: False, truncated: False
distance_to_goal: 1.51693659581982, terminated: False, truncated: False
distance_to_goal: 1.518471128920019, terminated: False, truncated: False
distance_to_goal: 1.5203064509675812, terminated: False, truncated: False
distance_to_goal: 1.521847948365336, terminated: False, truncated: False
distance_to_goal: 1.5222539805145152, terminated: False, truncated: False
distance_to_goal: 1.5215270290573941, terminated: False, truncated: False
distance_to_goal: 1.5221483821094786, terminated: False, truncated: False
distance_to_goal: 1.5220991718618533, terminated: False, truncated: False
distance_to_goal: 1.5218878531551576, terminated: False, truncated: False
distance_to_goal: 1.5225057461326972, terminated: False, truncated: False
distance_to_goal: 1.5226829232917094, terminated: False, truncated: False
distance_to_goal: 1.5241178601315788, terminated: False, truncated: False
distance_to_goal: 1.5261957908417658, terminated: False, truncated: False
distance_to_goal: 1.5278716888659591, terminated: False, truncated: False
distance_to_goal: 1.5288967759262628, terminated: False, truncated: False
distance_to_goal: 1.5304651703477037, terminated: False, truncated: False
distance_to_goal: 1.531074668794976, terminated: False, truncated: False
distance_to_goal: 1.5317366843811213, terminated: False, truncated: False
distance_to_goal: 1.5326830590926994, terminated: False, truncated: False
distance_to_goal: 1.5344624630812442, terminated: False, truncated: False
distance_to_goal: 1.535023092126834, terminated: False, truncated: False
distance_to_goal: 1.5356752423829898, terminated: False, truncated: False
distance_to_goal: 1.536199054368469, terminated: False, truncated: False
distance_to_goal: 1.5361532003725538, terminated: False, truncated: False
distance_to_goal: 1.5359322039859296, terminated: False, truncated: False
distance_to_goal: 1.5356810643987562, terminated: False, truncated: False
distance_to_goal: 1.5363269119569265, terminated: False, truncated: False
distance_to_goal: 1.5370292725753496, terminated: False, truncated: False
distance_to_goal: 1.5365416992123082, terminated: False, truncated: False
distance_to_goal: 1.535808590137697, terminated: False, truncated: False
